前看洋湖湿地公园。后看岳麓山山脉。视觉达到欲仙。,https://cs.lianjia.com/ershoufang/104105535157.html,中海国际社区2期 - 含浦,4室2厅 | 143.7平米 | 南 | 精装 | 高楼层(共33层) | 2013年建 | 塔楼,2人关注 / 6天以前发布,"['VR房源', '随时看房']",159万元,['单价11065元/平米']
归心苑无个税板楼双地铁口物业好,https://cs.lianjia.com/ershoufang/104105537991.html,归心苑 - 广电,4室2厅 | 200.95平米 | 南 北 | 其他 | 低楼层(共24层)  | 塔楼,3人关注 / 6天以前发布,"['VR房源', '房本满五年', '随时看房']",267万元,['单价13287元/平米']
江山帝景—凯旋庭 4室2厅 南,https://cs.lianjia.com/ershoufang/104105494038.html,江山帝景—凯旋庭 - 含浦,4室2厅 | 154.07平米 | 南 | 精装 | 高楼层(共11层) | 2016年建 | 板塔结合,6人关注 / 14天以前发布,"['VR房源', '房本满五年', '随时看房']",170万元,['单价11034元/平米']
全新装修未入住 正规大四房 急售,https://cs.lianjia.com/ershoufang/104105507755.html,江山帝景—凯旋庭 - 含浦,4室2厅 | 149.17平米 | 南 | 其他 | 中楼层(共11层) | 2016年建 | 板塔结合,7人关注 / 11天以前发布,"['VR看装修', '房本满五年', '随时看房']",172.8万元,['单价11585元/平米']
南北的大四房 地铁口 业主诚心售房 户型周正 得房率高,https://cs.lianjia.com/ershoufang/104105509909.html,左岸春天 - 四方坪,5室2厅 | 192.49平米 | 南 | 精装 | 高楼层(共11层) | 2005年建 | 塔楼,3人关注 / 11天以前发布,"['近地铁', 'VR房源', '房本满五年', '随时看房']",220万元,['单价11430元/平米']
侯家塘地铁口三号口 贺龙体育馆东南角 10平入户花园,https://cs.lianjia.com/ershoufang/104105539725.html,新世纪花苑 - 东塘,4室2厅 | 162.59平米 | 南 | 精装 | 高楼层(共24层) | 2008年建 | 板塔结合,9人关注 / 5天以前发布,"['近地铁', 'VR房源', '房本满五年']",208万元,['单价12793元/平米']
第六都二期，南北通透，满五唯一，省个税，带车位。,https://cs.lianjia.com/ershoufang/104105522637.html,第六都 - 雨花亭,3室2厅 | 143.33平米 | 南 北 | 毛坯 | 中楼层(共32层) | 2014年建 | 塔楼,4人关注 / 8天以前发布,"['近地铁', 'VR房源', '随时看房']",272万元,['单价18978元/平米']
马王堆 晚报大道 先锋东外滩  诚心出售,https://cs.lianjia.com/ershoufang/104105524370.html,先锋东外滩 - 马王堆,3室1厅 | 122.75平米 | 南 北 | 精装 | 低楼层(共33层) | 2011年建 | 板楼,1人关注 / 8天以前发布,"['近地铁', 'VR房源', '房本满五年', '随时看房']",138万元,['单价11243元/平米']
三地铁口 2012年次新小区 全明格局,https://cs.lianjia.com/ershoufang/104105525769.html,泊爱蓝湾 - 尚东,3室2厅 | 131.75平米 | 东南 | 精装 | 低楼层(共18层) | 2013年建 | 板塔结合,1人关注 / 8天以前发布,"['VR房源', '随时看房']",159万元,['单价12069元/平米']
近地铁，户型通透，小高层，一梯两户，配套成熟。,https://cs.lianjia.com/ershoufang/104105527303.html,四季美景 - 四方坪,2室2厅 | 87.56平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 7天以前发布,"['近地铁', 'VR房源', '房本满五年', '随时看房']",103万元,['单价11764元/平米']
此房满五唯一 业主诚心出售 随时方便看房,https://cs.lianjia.com/ershoufang/104105531623.html,楚天世纪城 - 泉塘,2室2厅 | 90平米 | 南 | 精装 | 中楼层(共33层) | 2015年建 | 塔楼,2人关注 / 7天以前发布,"['VR房源', '房本满五年', '随时看房']",73.8万元,['单价8198元/平米']
和泓梅溪四季 4室2厅 南,https://cs.lianjia.com/ershoufang/104105532677.html,和泓梅溪四季 - 梅溪湖北岸,4室2厅 | 128.4平米 | 南 | 精装 | 高楼层(共34层) | 2013年建 | 板塔结合,9人关注 / 7天以前发布,"['VR房源', '随时看房']",258万元,['单价20094元/平米']
业主诚售，二环内，近地铁，采光通风好,https://cs.lianjia.com/ershoufang/104105533707.html,好家园 - 观沙岭,2室2厅 | 86.4平米 | 南 | 精装 | 高楼层(共6层) | 2009年建 | 板塔结合,3人关注 / 6天以前发布,"['近地铁', 'VR房源', '房本满五年', '随时看房']",67万元,['单价7755元/平米']
